raga,artist,shruti,title,youtube_url
Hindolam,T N Seshagopalan,1,Hindolam Alapana & Kriti,https://www.youtube.com/watch?v=-JHbFsvweY4
Hindolam,Sanjay Subrahmanyan,5,Hindolam RTP,https://www.youtube.com/watch?v=0uTxTFRYKPY
Hindolam,Semmangudi Srinivasa Iyer,2,Semmangudi - Hindolam Kriti,https://www.youtube.com/watch?v=K5ypGPxh7a0
Hindolam,T M Krishna,3,T M Krishna - Hindolam,https://www.youtube.com/watch?v=pQ5Z7b2eKts
Hindolam,M S Subbulakshmi,1,M S Subbulakshmi - Hindolam,https://www.youtube.com/watch?v=LzKvkdJ9L3g
Hindolam,Lalgudi Jayaraman,4,Lalgudi Violin - Hindolam,https://www.youtube.com/watch?v=tO7UxBYlCnc
Hindolam,Sudha Ragunathan,2,Sudha Ragunathan - Hindolam,https://www.youtube.com/watch?v=cMl5q0j0JW0
Kalyani,Sanjay Subrahmanyan,5,Kalyani RTP & Kriti,https://www.youtube.com/watch?v=-IW5PCO6VL0
Kalyani,Sudha Ragunathan,4,Kalyani Alapana,https://www.youtube.com/watch?v=1dTvH5ADwmU
Kalyani,Semmangudi Srinivasa Iyer,2,Semmangudi - Kalyani RTP,https://www.youtube.com/watch?v=tKA1w_j1HUI
Kalyani,T M Krishna,5,T M Krishna - Kalyani,https://www.youtube.com/watch?v=lBHTVg5eGGc
Kalyani,M Balamuralikrishna,1,Balamuralikrishna - Kalyani,https://www.youtube.com/watch?v=aZqT5TLk7Ac
Kalyani,Lalgudi Jayaraman,4,Lalgudi - Kalyani Violin,https://www.youtube.com/watch?v=TlB7ByEhGU4
Kalyani,Ranjani Gayatri,3,Ranjani Gayatri - Kalyani,https://www.youtube.com/watch?v=JpLYdgC-Hsc
Bhairavi,M S Subbulakshmi,1,Bhairavi Swarajati,https://www.youtube.com/watch?v=-Ln5lefMpkA
Bhairavi,T M Krishna,2,T M Krishna - Bhairavi Alapana & Kriti,https://www.youtube.com/watch?v=2EMt7-nj8JU
Bhairavi,Semmangudi Srinivasa Iyer,1,Semmangudi - Bhairavi,https://www.youtube.com/watch?v=xyTPOdSZvXk
Bhairavi,T N Seshagopalan,2,T N Seshagopalan - Bhairavi,https://www.youtube.com/watch?v=akmNlkZe31o
Bhairavi,Sanjay Subrahmanyan,5,Sanjay - Bhairavi Kriti,https://www.youtube.com/watch?v=wK1fP3TG3Xg
Bhairavi,Sudha Ragunathan,3,Sudha Ragunathan - Bhairavi,https://www.youtube.com/watch?v=GQClDAHUW0c
Mohanam,M S Subbulakshmi,1,Mohanam Alapana & Kriti,https://www.youtube.com/watch?v=0RyVznLOmbE
Mohanam,Ranjani Gayatri,4,Ranjani Gayatri - Mohanam RTP,https://www.youtube.com/watch?v=1SCOtGZ7el4
Mohanam,Sanjay Subrahmanyan,5,Sanjay - Mohanam,https://www.youtube.com/watch?v=VFUKPblyBaE
Mohanam,T M Krishna,3,T M Krishna - Mohanam,https://www.youtube.com/watch?v=U8kRpThULFY
Mohanam,Lalgudi Jayaraman,4,Lalgudi - Mohanam Violin,https://www.youtube.com/watch?v=ORvNOGCioGs
Sankarabharanam,Sanjay Subrahmanyan,5,Sankarabharanam Alapana,https://www.youtube.com/watch?v=-DatREufHGI
Sankarabharanam,M Balamuralikrishna,1,Balamuralikrishna - Sankarabharanam Kriti,https://www.youtube.com/watch?v=1LZQUtsRwUA
Sankarabharanam,Semmangudi Srinivasa Iyer,2,Semmangudi - Sankarabharanam,https://www.youtube.com/watch?v=b6SrXIZBcjA
Sankarabharanam,T N Seshagopalan,4,T N Seshagopalan - Sankarabharanam,https://www.youtube.com/watch?v=cVo5NHFkMf8
Sankarabharanam,Sudha Ragunathan,3,Sudha Ragunathan - Sankarabharanam,https://www.youtube.com/watch?v=JKxhFflcFmQ
Hamsadhwani,Bombay Jayashri,4,Vatapi Ganapatim in Hamsadhwani,https://www.youtube.com/watch?v=-6gALa3yKIY
Hamsadhwani,M Balamuralikrishna,1,Vatapi Ganapatim,https://www.youtube.com/watch?v=en1tbocMWxg
Hamsadhwani,M S Subbulakshmi,1,M S Subbulakshmi - Hamsadhwani,https://www.youtube.com/watch?v=CiRi7H_YCBA
Hamsadhwani,T M Krishna,5,T M Krishna - Hamsadhwani,https://www.youtube.com/watch?v=d2KnAnFOXtM
Madhyamavati,T M Krishna,2,Madhyamavati RTP,https://www.youtube.com/watch?v=18_5I_AQAg4
Madhyamavati,Sanjay Subrahmanyan,5,Sanjay - Madhyamavati,https://www.youtube.com/watch?v=8SBo1dEYXV0
Madhyamavati,Sudha Ragunathan,3,Sudha Ragunathan - Madhyamavati,https://www.youtube.com/watch?v=1FnHyFqz28M
Todi,Sanjay Subrahmanyan,5,Todi Alapana,https://www.youtube.com/watch?v=1SCOtGZ7el4
Todi,Semmangudi Srinivasa Iyer,2,Semmangudi - Todi,https://www.youtube.com/watch?v=WJX9L-MnqzE
Todi,T N Seshagopalan,4,T N Seshagopalan - Todi,https://www.youtube.com/watch?v=HMvZnHVRtA0
Todi,M S Subbulakshmi,1,M S Subbulakshmi - Todi Kriti,https://www.youtube.com/watch?v=OBmLJT5Jx1Y
Kambhoji,Ranjani Gayatri,4,Kambhoji Alapana & O Rangasayee,https://www.youtube.com/watch?v=-IW5PCO6VL0
Kambhoji,Sanjay Subrahmanyan,5,Sanjay - Kambhoji,https://www.youtube.com/watch?v=BVbTWnPbm2Y
Kambhoji,Semmangudi Srinivasa Iyer,2,Semmangudi - Kambhoji,https://www.youtube.com/watch?v=MJtb7VK8oaw
Sri,M S Subbulakshmi,1,Endaro Mahanubhavulu,https://www.youtube.com/watch?v=-Ln5lefMpkA
Sri,Sanjay Subrahmanyan,5,Endaro Mahanubhavulu in Sri,https://www.youtube.com/watch?v=-IW5PCO6VL0
Sri,T N Seshagopalan,2,T N Seshagopalan - Endaro Mahanubhavulu,https://www.youtube.com/watch?v=DaP7U5a-_HY
Sri,T M Krishna,3,T M Krishna - Sri Raga,https://www.youtube.com/watch?v=pMOz4jVL3fU
Sri,Bombay Jayashri,4,Bombay Jayashri - Endaro Mahanubhavulu,https://www.youtube.com/watch?v=6CcjEVKBG8U
Abheri,M Balamuralikrishna,1,Nagumomu in Abheri,https://www.youtube.com/watch?v=en1tbocMWxg
Abheri,M S Subbulakshmi,1,M S Subbulakshmi - Nagumomu Ganaleni,https://www.youtube.com/watch?v=VsotAtjNKV8
Abheri,T N Seshagopalan,3,T N Seshagopalan - Nagumomu Ganaleni,https://www.youtube.com/watch?v=qG5oFcfcNEA
Abheri,Sanjay Subrahmanyan,5,Sanjay Subrahmanyan - Nagumomu,https://www.youtube.com/watch?v=RwlpNFGi0Ac
Khamas,M S Subbulakshmi,1,Brochevarevarura in Khamas,https://www.youtube.com/watch?v=0RyVznLOmbE
Khamas,T M Krishna,2,T M Krishna - Brochevarevarura,https://www.youtube.com/watch?v=5h62EkBsWZg
Khamas,Semmangudi Srinivasa Iyer,1,Semmangudi - Brochevarevarura,https://www.youtube.com/watch?v=xKsL4R2_QoA
Natabhairavi,Semmangudi Srinivasa Iyer,1,Semmangudi - Natabhairavi,https://www.youtube.com/watch?v=aUaXgsTZ3AQ
Natabhairavi,T N Seshagopalan,2,T N Seshagopalan - Natabhairavi,https://www.youtube.com/watch?v=fNkwW2Dxi9A
Charukesi,T M Krishna,3,T M Krishna - Charukesi,https://www.youtube.com/watch?v=XMoJ2lUmC5U
Charukesi,Sudha Ragunathan,4,Sudha Ragunathan - Charukesi,https://www.youtube.com/watch?v=kC6jJ5wkfR4
Ritigowla,Sanjay Subrahmanyan,5,Sanjay - Ritigowla,https://www.youtube.com/watch?v=KVcA6aYzB0M
Ritigowla,Semmangudi Srinivasa Iyer,2,Semmangudi - Ritigowla,https://www.youtube.com/watch?v=YkBxUcNVNSE
Anandabhairavi,M S Subbulakshmi,1,M S Subbulakshmi - Anandabhairavi,https://www.youtube.com/watch?v=A5eYoYfVfOA
Anandabhairavi,T N Seshagopalan,3,T N Seshagopalan - Anandabhairavi,https://www.youtube.com/watch?v=NkMmBxEv8Dk
Saveri,Semmangudi Srinivasa Iyer,2,Semmangudi - Saveri,https://www.youtube.com/watch?v=g0jLjjAFa7E
Saveri,T M Krishna,4,T M Krishna - Saveri,https://www.youtube.com/watch?v=2WkVDIFOmag
Kedaram,T N Seshagopalan,1,T N Seshagopalan - Kedaram,https://www.youtube.com/watch?v=Oa2cRjbWJvA
Kedaram,Sudha Ragunathan,3,Sudha Ragunathan - Kedaram,https://www.youtube.com/watch?v=Py7jnf1LWII
Nattai,Sanjay Subrahmanyan,5,Sanjay Subrahmanyan - Nattai,https://www.youtube.com/watch?v=9hAYnqeO1wY
Nattai,Semmangudi Srinivasa Iyer,2,Semmangudi - Nattai,https://www.youtube.com/watch?v=SWxjj0BRGQA
Kharaharapriya,T M Krishna,3,T M Krishna - Kharaharapriya,https://www.youtube.com/watch?v=O5CrVpHnECs
Kharaharapriya,Sanjay Subrahmanyan,5,Sanjay - Kharaharapriya,https://www.youtube.com/watch?v=QBP3eTJI1f8
Bilahari,Ranjani Gayatri,4,Ranjani Gayatri - Bilahari,https://www.youtube.com/watch?v=8OknS4I7eZg
